"","OTU_2","OTU_24","OTU_9","OTU_28","OTU_15","OTU_27","OTU_8","OTU_1","OTU_5","OTU_16","OTU_22","OTU_4","OTU_10","OTU_7","OTU_21","OTU_19","OTU_3","OTU_6","OTU_17","OTU_18","OTU_23","OTU_25","OTU_26","OTU_11","OTU_13","OTU_20","OTU_14","OTU_12"
"PPO20_002",0,176538,0,67630,0,80686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
"PPO20_003",0,113356,0,226648,0,48764,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1886,0,0,0,91,0
"PPO20_004",0,5209,0,204767,0,0,0,0,362381,0,0,0,0,0,0,0,178227,0,0,0,0,0,0,0,0,0,0,0
"PPO20_005",104317,82575,0,339501,121,269338,97,122,0,95,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_006",0,237,0,160952,0,65912,262108,0,15359,0,367,0,50,74214,0,0,0,0,0,0,0,0,0,0,57,0,0,0
"PPO20_008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
"PPO20_009",0,233036,0,0,0,6608,323551,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_010",0,724,0,0,0,67264,370,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_011",113111,0,0,0,0,0,100,101,310198,0,8126,0,0,321426,0,0,0,0,0,0,0,0,0,0,22,0,0,0
"PPO20_014",7652,13995,0,407,0,3975,34908,0,4824,0,0,0,0,0,104,0,0,0,0,0,0,0,0,40,21,415,0,0
"PPO20_015",0,7291,2653,1069,0,3066,0,0,0,0,0,793,108,0,153,0,0,0,313,0,0,0,0,0,4,0,0,0
"PPO20_016",15578,96599,0,331524,0,114154,0,0,0,0,0,0,0,0,81835,0,0,0,0,9,0,0,0,0,0,0,0,0
"PPO20_017",61,0,0,0,143,0,108,0,89711,0,124,667496,51,60451,0,0,0,0,0,45284,0,0,0,40,39,0,0,0
"PPO20_018",157581,293677,0,0,0,0,0,0,0,0,65193,0,0,46317,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_020",0,80017,0,0,0,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_021",0,509164,0,224848,161,83726,106,117,97,0,0,0,0,0,0,0,0,0,0,0,0,2717,308,0,87,6,0,0
"PPO20_022",0,329088,0,299621,0,0,0,0,0,0,7039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_029",0,0,0,0,0,0,6260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,48,0,0
"PPO20_031",0,221252,0,0,118,206409,0,0,91,0,52418,0,0,0,0,0,0,129260,0,0,0,0,0,0,0,0,0,0
"PPO20_032",0,0,0,0,0,0,0,0,0,0,578896,0,0,0,0,0,0,0,0,0,3575,0,0,0,60,0,0,17
"PPO20_033",0,0,0,0,0,0,120,0,671929,94,2252,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
