"","class.index","Mantel.cor","Pr.Mantel","Pr.corrected","distance","Signif"
"1",4.622,0.102877768691858,0.016,0.016,"Depth|2D","yes"
"2",9.154,-0.0460225892259587,0.219,0.438,"Depth|2D","no"
"3",13.686,0.207149965544228,0.001,0.003,"Depth|2D","yes"
"4",18.218,-0.015640842130119,0.43,1.72,"Depth|2D","no"
"5",22.75,0.0678483048895843,0.159,0.795,"Depth|2D","no"
"6",27.282,-0.0995178593728673,0.04,0.24,"Depth|2D","no"
"7",31.814,-0.0666811379562585,0.156,1.092,"Depth|2D","no"
"8",36.346,-0.0817812001689282,0.116,0.928,"Depth|2D","no"
"9",40.878,-0.119522006387908,0.075,0.675,"Depth|2D","no"
"10",46.41,-0.118633699477443,0.076,0.76,"Depth|2D","no"
"11",12365.1194028789,0.0827278634842518,0.011,0.011,"2D|Depth","yes"
"12",24526.161020695,0.0664993957781944,0.191,0.382,"2D|Depth","no"
"13",36687.2026385111,-0.0729172290658964,0.067,0.201,"2D|Depth","no"
"14",48848.2442563272,0.0617192022628986,0.155,0.62,"2D|Depth","no"
"15",61009.2858741433,-0.129944938575808,0.029,0.145,"2D|Depth","no"
"16",73170.3274919594,0.0860745482122596,0.016,0.096,"2D|Depth","no"
"17",85331.3691097756,-0.151929320695934,0.008,0.056,"2D|Depth","no"
"18",97492.4107275917,-0.00375718362631914,0.5,4,"2D|Depth","no"
"19",109653.452345408,NA,NA,NA,"2D|Depth",NA
"20",121815.493963224,-0.0446835719099764,0.313,3.13,"2D|Depth","no"
"21",12365.7819778708,0.0557991970968257,0.038,0.038,"3D","yes"
"22",24526.7499795191,0.0540823474519062,0.229,0.458,"3D","no"
"23",36687.7179811673,-0.0562939947940102,0.11,0.33,"3D","no"
"24",48848.6859828155,0.0666554921555324,0.152,0.608,"3D","no"
"25",61009.6539844637,-0.129268190877062,0.027,0.135,"3D","no"
"26",73170.6219861119,0.0777739021119814,0.036,0.216,"3D","no"
"27",85331.5899877601,-0.12706330389822,0.015,0.105,"3D","no"
"28",97492.5579894083,0.000211180125536399,0.484,3.872,"3D","no"
"29",109653.525991057,NA,NA,NA,"3D",NA
"30",121815.493992705,-0.0376272846504617,0.373,3.73,"3D","no"
